"","participant","lang_1","lang_2","region","age","l2_rating","native","l2","item_num","item_text","item_response","e.c_1.0","m_f","condition","repeated_pro","canada_specific_pro","exp_con"
"94",4,"French","","France",NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"96",4,"French","","France",NA,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"98",4,"French","","France",NA,NA,1,0,5,"Quelqu'un, il a telephone",3,1,"m",1,NA,0,0
"99",4,"French","","France",NA,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"105",4,"French","","France",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",3,1,"m",1,NA,0,0
"107",4,"French","","France",NA,NA,1,0,14,"Quelques amis, ils sont venus",3,1,"mis",1,NA,0,0
"109",4,"French","","France",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",3,1,"m",1,NA,0,0
"113",4,"French","","France",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",3,1,"m",1,NA,0,0
"115",4,"French","","France",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",3,1,"m",1,NA,0,0
"118",4,"French","","France",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"121",4,"French","","France",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",5,NA,"m",2,1,1,0
"123",4,"French","","France",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"124",4,"French","","France",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",5,NA,"f",2,1,1,0
"125",5,"French","","Belgium",NA,NA,1,0,1,"Chacun, il veut avoir raison",2,1,"m",1,NA,0,0
"127",5,"French","","Belgium",NA,NA,1,0,3,"Tous, ils sont d'accord",5,1,"m",1,NA,0,0
"129",5,"French","","Belgium",NA,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"130",5,"French","","Belgium",NA,NA,1,0,6,"Quelqu'une, elle a telephone",2,1,"f",1,NA,0,0
"136",5,"French","","Belgium",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",5,1,"m",1,NA,0,0
"138",5,"French","","Belgium",NA,NA,1,0,14,"Quelques amis, ils sont venus",2,1,"mis",1,NA,0,0
"140",5,"French","","Belgium",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",2,1,"m",1,NA,0,0
"144",5,"French","","Belgium",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",2,1,"m",1,NA,0,0
"146",5,"French","","Belgium",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",3,1,"m",1,NA,0,0
"149",5,"French","","Belgium",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",3,NA,"m",2,1,0,0
"152",5,"French","","Belgium",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",4,NA,"m",2,1,1,0
"154",5,"French","","Belgium",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"155",5,"French","","Belgium",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"156",6,"French","","France",NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"158",6,"French","","France",NA,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"160",6,"French","","France",NA,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"161",6,"French","","France",NA,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"167",6,"French","","France",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",1,1,"m",1,NA,0,0
"169",6,"French","","France",NA,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"171",6,"French","","France",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"175",6,"French","","France",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"177",6,"French","","France",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"180",6,"French","","France",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",1,NA,"m",2,1,0,0
"183",6,"French","","France",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",1,NA,"m",2,1,1,0
"185",6,"French","","France",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",1,NA,"f",2,1,1,0
"186",6,"French","","France",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"435",15,"Ede Caabe","French","Benin",NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"437",15,"Ede Caabe","French","Benin",NA,NA,1,0,3,"Tous, ils sont d'accord",2,1,"m",1,NA,0,0
"439",15,"Ede Caabe","French","Benin",NA,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"440",15,"Ede Caabe","French","Benin",NA,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"446",15,"Ede Caabe","French","Benin",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",2,1,"m",1,NA,0,0
"448",15,"Ede Caabe","French","Benin",NA,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"450",15,"Ede Caabe","French","Benin",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"454",15,"Ede Caabe","French","Benin",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",2,1,"m",1,NA,0,0
"456",15,"Ede Caabe","French","Benin",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"459",15,"Ede Caabe","French","Benin",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",3,NA,"m",2,1,0,0
"462",15,"Ede Caabe","French","Benin",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",2,NA,"m",2,1,1,0
"464",15,"Ede Caabe","French","Benin",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",3,NA,"f",2,1,1,0
"465",15,"Ede Caabe","French","Benin",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"497",17,"French","","Belgium",NA,NA,1,0,1,"Chacun, il veut avoir raison",2,1,"m",1,NA,0,0
"499",17,"French","","Belgium",NA,NA,1,0,3,"Tous, ils sont d'accord",2,1,"m",1,NA,0,0
"501",17,"French","","Belgium",NA,NA,1,0,5,"Quelqu'un, il a telephone",2,1,"m",1,NA,0,0
"502",17,"French","","Belgium",NA,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"508",17,"French","","Belgium",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",5,1,"m",1,NA,0,0
"510",17,"French","","Belgium",NA,NA,1,0,14,"Quelques amis, ils sont venus",2,1,"mis",1,NA,0,0
"512",17,"French","","Belgium",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",4,1,"m",1,NA,0,0
"516",17,"French","","Belgium",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"518",17,"French","","Belgium",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",2,1,"m",1,NA,0,0
"521",17,"French","","Belgium",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"524",17,"French","","Belgium",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",4,NA,"m",2,1,1,0
"526",17,"French","","Belgium",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"527",17,"French","","Belgium",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"590",20,"French","","Guayana",13,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"592",20,"French","","Guayana",13,NA,1,0,3,"Tous, ils sont d'accord",2,1,"m",1,NA,0,0
"594",20,"French","","Guayana",13,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"595",20,"French","","Guayana",13,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"601",20,"French","","Guayana",13,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",1,1,"m",1,NA,0,0
"603",20,"French","","Guayana",13,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"605",20,"French","","Guayana",13,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"609",20,"French","","Guayana",13,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"611",20,"French","","Guayana",13,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"614",20,"French","","Guayana",13,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"617",20,"French","","Guayana",13,NA,1,0,28,"Andre, i mange et i boit toute la journee",1,NA,"m",2,1,1,0
"619",20,"French","","Guayana",13,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"620",20,"French","","Guayana",13,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"652",22,"French","","France",22,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"654",22,"French","","France",22,NA,1,0,3,"Tous, ils sont d'accord",4,1,"m",1,NA,0,0
"656",22,"French","","France",22,NA,1,0,5,"Quelqu'un, il a telephone",2,1,"m",1,NA,0,0
"657",22,"French","","France",22,NA,1,0,6,"Quelqu'une, elle a telephone",2,1,"f",1,NA,0,0
"663",22,"French","","France",22,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",1,1,"m",1,NA,0,0
"665",22,"French","","France",22,NA,1,0,14,"Quelques amis, ils sont venus",2,1,"mis",1,NA,0,0
"667",22,"French","","France",22,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"671",22,"French","","France",22,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"673",22,"French","","France",22,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"676",22,"French","","France",22,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"679",22,"French","","France",22,NA,1,0,28,"Andre, i mange et i boit toute la journee",4,NA,"m",2,1,1,0
"681",22,"French","","France",22,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"682",22,"French","","France",22,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"683",23,"French","","France",NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"685",23,"French","","France",NA,NA,1,0,3,"Tous, ils sont d'accord",2,1,"m",1,NA,0,0
"687",23,"French","","France",NA,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"688",23,"French","","France",NA,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"694",23,"French","","France",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",3,1,"m",1,NA,0,0
"696",23,"French","","France",NA,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"698",23,"French","","France",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"702",23,"French","","France",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"704",23,"French","","France",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",2,1,"m",1,NA,0,0
"707",23,"French","","France",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",3,NA,"m",2,1,0,0
"710",23,"French","","France",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",1,NA,"m",2,1,1,0
"712",23,"French","","France",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",3,NA,"f",2,1,1,0
"713",23,"French","","France",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"714",24,"French","","France",29,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"716",24,"French","","France",29,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"718",24,"French","","France",29,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"719",24,"French","","France",29,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"725",24,"French","","France",29,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",2,1,"m",1,NA,0,0
"727",24,"French","","France",29,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"729",24,"French","","France",29,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"733",24,"French","","France",29,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"735",24,"French","","France",29,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"738",24,"French","","France",29,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"741",24,"French","","France",29,NA,1,0,28,"Andre, i mange et i boit toute la journee",5,NA,"m",2,1,1,0
"743",24,"French","","France",29,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"744",24,"French","","France",29,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"745",25,"French","","France",30,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"747",25,"French","","France",30,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"749",25,"French","","France",30,NA,1,0,5,"Quelqu'un, il a telephone",2,1,"m",1,NA,0,0
"750",25,"French","","France",30,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"756",25,"French","","France",30,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",3,1,"m",1,NA,0,0
"758",25,"French","","France",30,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"760",25,"French","","France",30,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"764",25,"French","","France",30,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",3,1,"m",1,NA,0,0
"766",25,"French","","France",30,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"769",25,"French","","France",30,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"772",25,"French","","France",30,NA,1,0,28,"Andre, i mange et i boit toute la journee",1,NA,"m",2,1,1,0
"774",25,"French","","France",30,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"775",25,"French","","France",30,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"807",27,"French","","France",28,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"809",27,"French","","France",28,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"811",27,"French","","France",28,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"812",27,"French","","France",28,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"818",27,"French","","France",28,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",2,1,"m",1,NA,0,0
"820",27,"French","","France",28,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"822",27,"French","","France",28,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"826",27,"French","","France",28,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"828",27,"French","","France",28,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"831",27,"French","","France",28,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"834",27,"French","","France",28,NA,1,0,28,"Andre, i mange et i boit toute la journee",1,NA,"m",2,1,1,0
"836",27,"French","","France",28,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"837",27,"French","","France",28,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"838",28,"French","","France",23,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"840",28,"French","","France",23,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"842",28,"French","","France",23,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"843",28,"French","","France",23,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"849",28,"French","","France",23,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",1,1,"m",1,NA,0,0
"851",28,"French","","France",23,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
"853",28,"French","","France",23,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",5,1,"m",1,NA,0,0
"857",28,"French","","France",23,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",1,1,"m",1,NA,0,0
"859",28,"French","","France",23,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"862",28,"French","","France",23,NA,1,0,25,"Jean, il boit et il mange toute la journee",4,NA,"m",2,1,0,0
"865",28,"French","","France",23,NA,1,0,28,"Andre, i mange et i boit toute la journee",5,NA,"m",2,1,1,0
"867",28,"French","","France",23,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"868",28,"French","","France",23,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"931",31,"French","","Canada",37,NA,1,0,1,"Chacun, il veut avoir raison",2,1,"m",1,NA,0,0
"933",31,"French","","Canada",37,NA,1,0,3,"Tous, ils sont d'accord",3,1,"m",1,NA,0,0
"935",31,"French","","Canada",37,NA,1,0,5,"Quelqu'un, il a telephone",2,1,"m",1,NA,0,0
"936",31,"French","","Canada",37,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"942",31,"French","","Canada",37,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",5,1,"m",1,NA,0,0
"944",31,"French","","Canada",37,NA,1,0,14,"Quelques amis, ils sont venus",2,1,"mis",1,NA,0,0
"946",31,"French","","Canada",37,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",1,1,"m",1,NA,0,0
"950",31,"French","","Canada",37,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",2,1,"m",1,NA,0,0
"952",31,"French","","Canada",37,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",1,1,"m",1,NA,0,0
"955",31,"French","","Canada",37,NA,1,0,25,"Jean, il boit et il mange toute la journee",4,NA,"m",2,1,0,0
"958",31,"French","","Canada",37,NA,1,0,28,"Andre, i mange et i boit toute la journee",1,NA,"m",2,1,1,0
"960",31,"French","","Canada",37,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",4,NA,"f",2,1,1,0
"961",31,"French","","Canada",37,NA,1,0,31,"Marie, a boit et a mange toute la journee",1,NA,"f",2,1,1,0
"993",33,"French","","Canada",24,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"995",33,"French","","Canada",24,NA,1,0,3,"Tous, ils sont d'accord",4,1,"m",1,NA,0,0
"997",33,"French","","Canada",24,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"998",33,"French","","Canada",24,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"1004",33,"French","","Canada",24,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",4,1,"m",1,NA,0,0
"1006",33,"French","","Canada",24,NA,1,0,14,"Quelques amis, ils sont venus",1,1,"mis",1,NA,0,0
